"","circ_id","mmu1","mmu2","mmu3"
"648","10:66871663|66875356",1,NA,NA
"649","10:66993685|67025628",17,14,31
"650","10:66993685|67051154",NA,NA,1
"651","10:67081284|67083929",NA,1,NA
"652","10:67962528|67970936",NA,NA,3
"653","10:68021855|68079059",16,NA,4
"654","10:6850569|6870086",NA,NA,3
"655","10:68584205|68587158",2,NA,NA
"656","10:6885174|6906132",NA,NA,3
"657","10:69084600|69085558",NA,NA,1
"658","10:69756267|69768326",7,NA,NA
"659","10:69763524|69768326",NA,2,NA
"660","10:69978408|69978558",NA,NA,1
"661","10:69978408|69990666",27,24,45
"662","10:69978408|70005082",NA,NA,3
"663","10:69978408|70010997",5,NA,1
"664","10:69990537|70005082",NA,NA,6
"665","10:69990537|70010997",NA,3,4
"666","10:70002831|70010997",4,NA,NA
"667","10:70091789|70110851",1,NA,NA
"668","10:7102863|7104485",22,3,7
